Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.3.6-35484-10.0.3.5-5353-17-1761996916964,10.0.3.6,35484,10.0.3.5,5353,17,1761996916.9643848,1e-06,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0,1000000.0,0.0,65,65,65,0.0,0.0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65,0,0,0,0,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.3.6-0-1-1761996916998,10.0.3.5,0,10.0.3.6,0,1,1761996916.9981039,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.2-42982-10.0.3.5-5353-17-1761996917020,10.0.1.2,42982,10.0.3.5,5353,17,1761996917.0200787,0.0499420166015625,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,3904.5279560036665,60.06966086159487,0.02497100830078125,0.008208036422729492,0.03317904472351074,0.016762971878051758,0.0499420166015625,0.02497100830078125,0.008208036422729492,0.03317904472351074,0.016762971878051758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,60.06966086159487,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.0499420166015625,0.0,0.0499420166015625,0.0499420166015625,0.0,0.0,0.0,0.0,benign
10.0.1.1-49428-10.0.3.5-5353-17-1761996917020,10.0.1.1,49428,10.0.3.5,5353,17,1761996917.0204012,0.050092220306396484,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,3892.820058828569,59.88953936659337,0.025046110153198242,0.008344173431396484,0.03339028358459473,0.016701936721801758,0.050092220306396484,0.025046110153198242,0.008344173431396484,0.03339028358459473,0.016701936721801758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0,59.88953936659337,0.0,65,65,65,0.0,0,0,0,0,0,0,0,0,0,0.0,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,195,0,0,0,0,3,65,0.050092220306396484,0.0,0.050092220306396484,0.050092220306396484,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1761996917100,10.0.1.1,0,10.0.2.4,0,1,1761996917.10005,0.03213763236999512,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,9148.153685225712,93.34850699209912,0.01606881618499756,0.0041970014572143555,0.020265817642211914,0.011871814727783203,0.03213763236999512,0.01606881618499756,0.0041970014572143555,0.020265817642211914,0.011871814727783203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,93.34850699209912,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,294,0,0,0,0,3,98,0.03213763236999512,0.0,0.03213763236999512,0.03213763236999512,0.0,0.0,0.0,0.0,benign
10.0.1.1-58144-10.0.2.4-5201-6-1761996917100,10.0.1.1,58144,10.0.2.4,5201,6,1761996917.1007013,0.03192400932312012,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,6954.013756637465,93.97315887347926,0.01596200466156006,0.004126429557800293,0.02008843421936035,0.011835575103759766,0.03192400932312012,0.01596200466156006,0.004126429557800293,0.02008843421936035,0.011835575103759766,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,93.97315887347926,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.03192400932312012,0.0,0.03192400932312012,0.03192400932312012,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.1.1-0-1-1761996917103,10.0.3.5,0,10.0.1.1,0,1,1761996917.1034162,1e-06,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,93,93,93,0.0,0.0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,93,0,0,0,0,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.3.5-57172-10.0.2.4-5201-6-1761996917105,10.0.3.5,57172,10.0.2.4,5201,6,1761996917.1059675,0.026972055435180664,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,8230.740906398889,111.22622846484987,0.013486027717590332,0.0018581151962280273,0.01534414291381836,0.011627912521362305,0.026972055435180664,0.013486027717590332,0.0018581151962280273,0.01534414291381836,0.011627912521362305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,111.22622846484987,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.026972055435180664,0.0,0.026972055435180664,0.026972055435180664,0.0,0.0,0.0,0.0,benign
10.0.3.5-0-10.0.1.2-0-1-1761996917107,10.0.3.5,0,10.0.1.2,0,1,1761996917.107084,0.024804115295410156,3,0,279,0,93,93,93,0.0,0.0,0.0,0.0,0.0,11248.133492252682,120.94767195970626,0.012402057647705078,0.0024056434631347656,0.014807701110839844,0.009996414184570312,0.024804115295410156,0.012402057647705078,0.0024056434631347656,0.014807701110839844,0.009996414184570312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0,120.94767195970626,0.0,93,93,93,0.0,0,0,0,0,0,0,0,0,0,0.0,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,279,0,0,0,0,3,93,0.024804115295410156,0.0,0.024804115295410156,0.024804115295410156,0.0,0.0,0.0,0.0,benign
10.0.1.2-35434-10.0.2.4-5201-6-1761996917117,10.0.1.2,35434,10.0.2.4,5201,6,1761996917.117469,0.018685102462768555,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,11881.122966403389,160.55571576220797,0.009342551231384277,0.0012542009353637695,0.010596752166748047,0.008088350296020508,0.018685102462768555,0.009342551231384277,0.0012542009353637695,0.010596752166748047,0.008088350296020508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,160.55571576220797,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.018685102462768555,0.0,0.018685102462768555,0.018685102462768555,0.0,0.0,0.0,0.0,benign
